,total_CV,agri_CV,chem_CV,fmt_CV,nfmt_CV,gld_CV
2017-10-19,14636.3717238,3215.8930772,1879.8408631,4276.3738754,3965.7564701,1298.507438
2017-10-20,14889.0043795,3212.1916103,1920.5438238,4390.247445,4065.6439262,1300.3775742
2017-10-23,14777.1424305,3268.2703832,1926.5757385,4349.605141,3934.71722,1297.9739478
2017-10-24,14902.3809522,3255.6880891,1947.5628846,4287.8962908,4117.1796549,1294.0540328
2017-10-25,14879.6328571,3317.0682163,1905.9612577,4347.5949334,4033.4385913,1275.5698584
2017-10-26,14764.6190922,3273.3781921,1890.5277531,4238.5433686,4085.1364382,1277.0333402
2017-10-27,14757.3433447,3251.8464288,1878.1455276,4344.9892178,3985.9175832,1296.4445873
2017-10-30,14548.2883602,3250.2170373,1876.9962822,4220.548841,3952.0577666,1248.4684331
2017-10-31,14700.3606406,3245.4020191,1860.3828966,4373.9760382,3996.482636,1224.1170507
2017-11-01,14643.0363198,3255.7414712,1882.8271662,4259.7510542,4036.2741319,1208.4424963
2017-11-02,14964.224336,3288.2822887,1920.5125299,4471.3895502,4067.4278405,1216.6121267
2017-11-03,14814.0188494,3282.6183266,1919.3646839,4245.325571,4142.8933388,1223.8169291
2017-11-06,15321.4359011,3289.3856982,2024.2197395,4559.5855502,4242.8617313,1205.3831819
2017-11-07,15108.543542,3282.3674774,2050.9283495,4371.5440486,4198.0872283,1205.6164382
2017-11-08,15155.4644755,3340.7173447,2071.146783,4433.2584302,4105.6399686,1204.701949
2017-11-09,15220.1953594,3373.2394403,2083.705477,4590.2620056,3988.9787013,1184.0097352
2017-11-10,15113.1328794,3366.4936493,2076.1889509,4532.5517378,3954.7548765,1183.1436649
2017-11-13,15414.6823082,3404.7053032,2202.7691506,4667.5845418,3992.3771108,1147.2462018
2017-11-14,15466.2257348,3439.7304836,2182.0633874,4531.4078226,4183.0789083,1129.9451329
2017-11-15,14811.1965092,3457.9544398,1961.5974053,4319.5503866,3971.8557223,1100.2385552
2017-11-16,14591.0787095,3456.9651964,1952.7528553,4153.7673346,3960.7832036,1066.8101196
2017-11-17,14699.2786654,3419.0927451,1993.8382945,4245.5241062,3983.8761151,1056.9474045
2017-11-20,14879.0880806,3497.9304147,2009.1911139,4320.1510312,3950.1655058,1101.650015
2017-11-21,14869.9139657,3515.5042499,2074.3528665,4284.0738952,3959.8869451,1036.096009
2017-11-22,15079.5295236,3548.0890411,2075.9676519,4471.1652446,3951.823966,1032.48362
2017-11-23,15013.4394184,3490.4683206,2030.658452,4533.9169748,3925.1829986,1033.2126724
2017-11-24,15067.3117478,3494.3373208,2053.1712891,4502.5000112,3983.142027,1034.1610997
2017-11-27,14902.6295962,3490.8328048,1965.5001795,4515.4617126,3905.7547149,1025.0801844
2017-11-28,14825.4087947,3468.7164019,1905.6605987,4495.3334236,3875.315058,1080.3833125
2017-11-29,15039.9129044,3452.5687978,1925.9158703,4694.5294546,3892.466816,1074.4319657
2017-11-30,15036.6049835,3321.6963184,1897.9395157,4920.090887,3884.4581086,1012.4201538
2017-12-01,15019.9093838,3299.9587333,2030.2795685,4826.13611,3853.508347,1010.026625
2017-12-04,15351.6570482,3410.7691129,2102.3106491,5013.3219836,3801.1584791,1024.0968235
2017-12-05,15053.0785315,3353.2024414,2040.5637872,4843.5503604,3776.4500025,1039.31194
2017-12-06,14916.3180637,3444.8469451,2010.5789891,4672.2369488,3729.3997335,1059.2554472
2017-12-07,14213.9366974,3326.6644481,1870.723393,4165.4608288,3756.6422027,1094.4458248
2017-12-08,14282.5099694,3340.0716314,1884.5774041,4121.7949816,3811.6400276,1124.4259247
2017-12-11,14240.3955425,3259.9497836,1908.6780875,4169.8629854,3773.0158886,1128.8887974
2017-12-12,14137.0428975,3231.9792328,1955.8462974,4112.8404788,3689.174798,1147.2020905
2017-12-13,14126.3721313,3161.2275924,1951.7070223,4148.7263352,3717.2917227,1147.4194587
2017-12-14,13864.3850277,3125.3731645,1903.5033114,4013.1692596,3679.7103202,1142.628972
2017-12-15,13708.6443586,3088.0522031,1899.6301169,3955.4870318,3648.6842973,1116.7907095
2017-12-18,14013.8071628,3088.3498518,1916.8413455,4234.944999,3655.7076183,1117.9633482
2017-12-19,13866.4781576,3088.2897458,1930.434832,4101.6032684,3633.4782002,1112.6721112
2017-12-20,13867.6320441,3074.5072882,1951.3898809,4038.3505226,3698.7166826,1104.6676698
2017-12-21,13860.1058215,3056.9479349,1883.3824958,4078.905558,3734.1129612,1106.7568716
2017-12-22,13908.0751381,3042.1089133,1856.8893528,4143.6332924,3759.4903403,1105.9532393
2017-12-25,13642.9378474,2981.4960675,1805.5919878,3937.4509568,3815.2856451,1103.1131902
2017-12-26,13552.930163,2967.425051,1941.1942683,3677.2256652,3867.1331148,1099.9520637
2017-12-27,13568.6856427,2950.964534,1908.8915782,3770.3453756,3860.0743027,1078.4098522
2017-12-28,13587.8693919,2913.484977,1885.7878989,3634.6743184,4078.7763562,1075.1458414
2017-12-29,13390.6057994,2857.1175927,1849.0727868,3659.9158008,3980.6753587,1043.8242604
2018-01-02,13517.7321513,2861.2024638,2056.146813,3558.9764506,3964.6498931,1076.7565308
2018-01-03,13579.705764,2913.5517297,2036.4761423,3581.1937706,3935.102625,1113.3814964
2018-01-04,14032.2010055,2909.6885082,2161.2119469,3846.8033884,3994.789989,1119.707173
2018-01-05,13969.9581781,2924.0837866,2144.7718872,3820.339756,3949.2743557,1131.4883926
2018-01-08,14207.3276466,2963.661412,2256.9692545,4010.4570116,3844.2808771,1131.9590914
2018-01-09,14254.2956232,2987.6306882,2255.7821754,3904.247862,3944.4463227,1162.1885749
2018-01-10,14396.7187051,3011.7523595,2267.5060364,4024.621697,3895.4235879,1197.4150243
2018-01-11,14378.0688389,3026.7624658,2288.9461692,3895.322732,3954.9875144,1212.0499575
2018-01-12,14387.4392898,3104.747841,2337.942142,3863.2944216,3850.830583,1230.6243022
2018-01-15,14243.1370249,3066.006787,2293.5334047,3826.2412414,3806.6778761,1250.6777157
2018-01-16,13909.9422994,3069.7200454,2201.4552747,3779.996037,3622.7090318,1236.0619105
2018-01-17,13744.8021011,3090.8392016,2113.9771203,3788.0348882,3535.2924051,1216.6584859
2018-01-18,13933.295219,3179.5310639,2147.3535856,3870.1124282,3524.3447424,1211.9533989
2018-01-19,14148.8247465,3171.768319,2177.5555639,4072.083333,3511.8413073,1215.5762233
2018-01-22,14233.1896226,3202.8432814,2202.0065651,4038.587929,3569.5178248,1220.2340223
2018-01-23,14424.5188214,3258.7069543,2324.1120757,3977.461178,3611.3875966,1252.8510168
2018-01-24,14595.447672,3241.0916694,2387.895725,3987.0773838,3691.8699392,1287.5129546
2018-01-25,15097.8296606,3262.1214139,2435.3758588,4165.6994276,3935.4882178,1299.1447425
2018-01-26,15040.9653537,3290.6890194,2460.9897033,4018.027722,3973.8053874,1297.4535216
2018-01-29,15276.2652201,3342.5986687,2436.5568882,4051.0619816,4128.9746022,1317.0730794
2018-01-30,14946.7629715,3307.6839735,2391.6318108,3890.0447154,4032.5264968,1324.875975
2018-01-31,14795.599667,3238.5351938,2398.3140583,3891.9501826,3947.2429355,1319.5572968
2018-02-01,14670.3063529,3269.6803232,2331.2216407,3855.630165,3903.3549421,1310.4192819
2018-02-02,14845.9752475,3219.0927984,2322.081877,3977.7817322,3995.4731454,1331.5456945
2018-02-05,14849.4989045,3205.9579912,2292.6695987,4039.51537,3954.2816365,1357.0743081
2018-02-06,14667.3943588,3187.0287908,2218.7816569,3939.066698,3942.4090369,1380.1081762
2018-02-07,14642.030521,3225.9906276,2215.9049406,3869.134925,3946.3766681,1384.6233597
2018-02-08,14499.4831029,3202.6165809,2161.829206,3863.0008144,3874.8597111,1397.1767905
2018-02-09,14150.2763593,3148.0144079,2089.2779015,3735.1718524,3779.6026613,1398.2095362
2018-02-12,13966.489618,3162.6151251,2104.6223446,3485.259509,3798.7773112,1415.2153281
2018-02-13,13650.7363935,3053.8667427,2023.2831323,3339.5527644,3840.0871195,1393.9466346
2018-02-14,13384.1156127,2984.8763498,1983.4155161,3233.738137,3807.8399209,1374.2456889
2018-02-22,13685.6448373,3055.1086675,2024.7168033,3446.6756906,3776.3508799,1382.792796
2018-02-23,14561.7052373,3216.7867795,2091.654398,3827.3273954,3998.0980825,1427.8385819
2018-02-26,15031.020377,3326.4912031,2188.4638043,3985.7333626,4059.3290734,1471.0029336
2018-02-27,15129.2798278,3322.660597,2220.7633286,3990.4712716,4124.4463388,1470.9382918
2018-02-28,15148.5051293,3415.526643,2211.8531229,3947.2435116,4095.1817429,1478.7001089
2018-03-01,15453.0263839,3510.380218,2278.0276787,4080.12062,4090.0731884,1494.4246788
2018-03-02,15433.0268399,3622.5514597,2224.7786971,3977.9602536,4107.193662,1500.5427675
2018-03-05,15430.62064,3617.3806556,2252.4841583,3976.4722642,4085.624604,1498.6589579
2018-03-06,15542.7792682,3702.4744137,2234.5456816,3921.5639518,4172.6770348,1511.5181863
